DECLARANT,PERIOD,QUANTITY_IMPORT,QUANTITY_EXPORT,CONSUMPTION_TON,CONSUMPTION_G,CONSUMPTION_AVOCADOS,POPULATION,AVOCADO_PP,AVOCADO_PP_G
France,Jan. 2015,9239.6,1954,7285.6,7285600000,40475555.56,66456279,0.6091,109.6299719
France,Feb. 2015,8518.7,2251,6267.7,6267700000,34820555.56,66456279,0.524,94.31313481
France,Mar. 2015,10622.8,2323.5,8299.3,8299300000,46107222.22,66456279,0.6938,124.8836096
France,Apr. 2015,9505.8,1864.1,7641.7,7641700000,42453888.89,66456279,0.6388,114.9883821
France,May. 2015,9729.3,1191,8538.3,8538300000,47435000,66456279,0.7138,128.479959
France,Jun. 2015,10342,1416,8926,8926000000,49588888.89,66456279,0.7462,134.3138697
France,Jul. 2015,8972.8,1159.5,7813.3,7813300000,43407222.22,66456279,0.6532,117.5705308
France,Aug. 2015,9866.3,1131.7,8734.6,8734600000,48525555.56,66456279,0.7302,131.4337807
France,Sep. 2015,9580.4,1511.1,8069.3,8069300000,44829444.44,66456279,0.6746,121.4226875
France,Oct. 2015,8975.1,1447.6,7527.5,7527500000,41819444.44,66456279,0.6293,113.269959
France,Nov. 2015,9741.7,1298.7,8443,8443000000,46905555.56,66456279,0.7058,127.0459335
France,Dec. 2015,11302.9,1926.3,9376.6,9376600000,52092222.22,66456279,0.7839,141.0942674
France,TOTAL,116397.4,19474.5,96922.9,96922900000,538460555.6,66456279,8.1025,1458.446086
Netherlands,Jan. 2015,9076.9,14723.1,-5646.2,-5646200000,-31367777.78,16900726,-1.856,-334.0803229
Netherlands,Feb. 2015,9953,8043.2,1909.8,1909800000,10610000,16900726,0.6278,113.0010628
Netherlands,Mar. 2015,12124.5,10727.2,1397.3,1397300000,7762777.778,16900726,0.4593,82.67692169
Netherlands,Apr. 2015,16307.9,12481.3,3826.6,3826600000,21258888.89,16900726,1.2579,226.416309
Netherlands,May. 2015,23106.1,12007.9,11098.2,11098200000,61656666.67,16900726,3.6482,656.6700152
Netherlands,Jun. 2015,19034.5,13177.9,5856.6,5856600000,32536666.67,16900726,1.9252,346.5294923
Netherlands,Jul. 2015,16054,14005.3,2048.7,2048700000,11381666.67,16900726,0.6734,121.2196446
