CODE,DECLARANT,FLOW,PERIOD,QUANTITY_TON
FRA,France,IMPORT,Jan. 2015,9239.6
FRA,France,IMPORT,Feb. 2015,8518.7
FRA,France,IMPORT,Mar. 2015,10622.8
FRA,France,IMPORT,Apr. 2015,9505.8
FRA,France,IMPORT,May. 2015,9729.3
FRA,France,IMPORT,Jun. 2015,10342
FRA,France,IMPORT,Jul. 2015,8972.8
FRA,France,IMPORT,Aug. 2015,9866.3
FRA,France,IMPORT,Sep. 2015,9580.4
FRA,France,IMPORT,Oct. 2015,8975.1
FRA,France,IMPORT,Nov. 2015,9741.7
FRA,France,IMPORT,Dec. 2015,11302.9
FRA,France,IMPORT,TOTAL,116397.4
FRA,France,EXPORT,Jan. 2015,1954
FRA,France,EXPORT,Feb. 2015,2251
FRA,France,EXPORT,Mar. 2015,2323.5
FRA,France,EXPORT,Apr. 2015,1864.1
FRA,France,EXPORT,May. 2015,1191
FRA,France,EXPORT,Jun. 2015,1416
FRA,France,EXPORT,Jul. 2015,1159.5
FRA,France,EXPORT,Aug. 2015,1131.7
FRA,France,EXPORT,Sep. 2015,1511.1
FRA,France,EXPORT,Oct. 2015,1447.6
FRA,France,EXPORT,Nov. 2015,1298.7
FRA,France,EXPORT,Dec. 2015,1926.3
FRA,France,EXPORT,TOTAL,19474.5
NLD,Netherlands,IMPORT,Jan. 2015,9076.9
NLD,Netherlands,IMPORT,Feb. 2015,9953
NLD,Netherlands,IMPORT,Mar. 2015,12124.5
NLD,Netherlands,IMPORT,Apr. 2015,16307.9
NLD,Netherlands,IMPORT,May. 2015,23106.1
NLD,Netherlands,IMPORT,Jun. 2015,19034.5
NLD,Netherlands,IMPORT,Jul. 2015,16054
NLD,Netherlands,IMPORT,Aug. 2015,19288.2
NLD,Netherlands,IMPORT,Sep. 2015,17138.5
NLD,Netherlands,IMPORT,Oct. 2015,15884.5
NLD,Netherlands,IMPORT,Nov. 2015,13713.8
NLD,Netherlands,IMPORT,Dec. 2015,15654
NLD,Netherlands,IMPORT,TOTAL,187335.9
NLD,Netherlands,EXPORT,Jan. 2015,14723.1
NLD,Netherlands,EXPORT,Feb. 2015,8043.2
