CODE,FLOW,YEAR ,QUANTITY_TON
FRA,IMPORT,2010,94035.3
FRA,IMPORT,2011,88261.5
FRA,IMPORT,2012,94499.6
FRA,IMPORT,2013,100260.4
FRA,IMPORT,2014,119722.6
FRA,IMPORT,2015,116397.4
FRA,EXPORT,2010,9526.4
FRA,EXPORT,2011,12456.4
FRA,EXPORT,2012,18072.3
FRA,EXPORT,2013,14651.4
FRA,EXPORT,2014,18660.2
FRA,EXPORT,2015,19474.5
NLD,IMPORT,2010,105978.90
NLD,IMPORT,2011,104936.30
NLD,IMPORT,2012,120322.00
NLD,IMPORT,2013,143604.00
NLD,IMPORT,2014,168760.90
NLD,IMPORT,2015,187335.90
NLD,EXPORT,2010,76030.30
NLD,EXPORT,2011,82980.20
NLD,EXPORT,2012,105055.10
NLD,EXPORT,2013,120058.90
NLD,EXPORT,2014,142984.40
NLD,EXPORT,2015,151604.40
DEU,IMPORT,2010,27914.50
DEU,IMPORT,2011,29266.20
DEU,IMPORT,2012,28998.40
DEU,IMPORT,2013,31434.00
DEU,IMPORT,2014,37714.00
DEU,IMPORT,2015,48435.00
DEU,EXPORT,2010,6081.00
DEU,EXPORT,2011,5445.60
DEU,EXPORT,2012,4584.60
DEU,EXPORT,2013,5266.10
DEU,EXPORT,2014,5730.60
DEU,EXPORT,2015,10540.80
ITA,IMPORT,2010,24691.20
ITA,IMPORT,2011,14459.10
ITA,IMPORT,2012,5149.10
ITA,IMPORT,2013,6121.30
ITA,IMPORT,2014,9109.10
ITA,IMPORT,2015,10989.00
ITA,EXPORT,2010,23868.80
ITA,EXPORT,2011,9981.90
ITA,EXPORT,2012,431.90
ITA,EXPORT,2013,483.80
ITA,EXPORT,2014,724.80
ITA,EXPORT,2015,921.70
GBR,IMPORT,2010,35240.90
GBR,IMPORT,2011,34864.50
GBR,IMPORT,2012,38095.70
GBR,IMPORT,2013,41383.90
GBR,IMPORT,2014,51552.70
GBR,IMPORT,2015,73465.00
GBR,EXPORT,2010,1180.10
GBR,EXPORT,2011,1451.00
GBR,EXPORT,2012,1830.20
GBR,EXPORT,2013,1909.90
GBR,EXPORT,2014,935.50
GBR,EXPORT,2015,1688.40
IRL,IMPORT,2010,2356.30
IRL,IMPORT,2011,1905.40
IRL,IMPORT,2012,2049.80
IRL,IMPORT,2013,2311.70
IRL,IMPORT,2014,2669.20
IRL,IMPORT,2015,4351.30
IRL,EXPORT,2010,9.60
IRL,EXPORT,2011,6.20
IRL,EXPORT,2012,60.40
IRL,EXPORT,2013,16.10
IRL,EXPORT,2014,9.20
IRL,EXPORT,2015,8.40
DNK,IMPORT,2010,10521.40
DNK,IMPORT,2011,10307.40
DNK,IMPORT,2012,11855.70
DNK,IMPORT,2013,10105.20
DNK,IMPORT,2014,10978.00
DNK,IMPORT,2015,14190.20
DNK,EXPORT,2010,442.70
DNK,EXPORT,2011,577.30
DNK,EXPORT,2012,265.10
DNK,EXPORT,2013,346.00
DNK,EXPORT,2014,260.60
DNK,EXPORT,2015,363.30
GRC,IMPORT,2010,721.00
GRC,IMPORT,2011,1030.30
GRC,IMPORT,2012,847.80
GRC,IMPORT,2013,1165.00
GRC,IMPORT,2014,1405.50
GRC,IMPORT,2015,1617.70
GRC,EXPORT,2010,861.60
GRC,EXPORT,2011,441.60
GRC,EXPORT,2012,682.10
GRC,EXPORT,2013,521.90
GRC,EXPORT,2014,781.20
GRC,EXPORT,2015,892.00
PRT,IMPORT,2010,720.60
PRT,IMPORT,2011,498.00
PRT,IMPORT,2012,658.70
PRT,IMPORT,2013,1126.90
PRT,IMPORT,2014,1131.20
PRT,IMPORT,2015,1333.90
PRT,EXPORT,2010,91.00
PRT,EXPORT,2011,493.80
PRT,EXPORT,2012,606.80
PRT,EXPORT,2013,435.60
PRT,EXPORT,2014,642.90
PRT,EXPORT,2015,1737.70
ESP,IMPORT,2010,32822.60
ESP,IMPORT,2011,29848.00
ESP,IMPORT,2012,34061.10
ESP,IMPORT,2013,41049.70
ESP,IMPORT,2014,52746.70
ESP,IMPORT,2015,60988.90
ESP,EXPORT,2010,54421.90
ESP,EXPORT,2011,70887.80
ESP,EXPORT,2012,65493.90
ESP,EXPORT,2013,66116.00
ESP,EXPORT,2014,75474.50
