TIME;GEO;AGE;SEX;UNIT;Value
2015;Belgium;Total;Total;Number;11.237.274
2015;Bulgaria;Total;Total;Number;7.202.198
2015;Czech Republic;Total;Total;Number;10.538.275
2015;Denmark;Total;Total;Number;5.659.715
2015;Germany including former GDR;Total;Total;Number;81.197.537
2015;Estonia;Total;Total;Number;1.314.870
2015;Ireland;Total;Total;Number;4.677.627
2015;Greece;Total;Total;Number;10.858.018
2015;Spain;Total;Total;Number;46.449.565
2015;France;Total;Total;Number;66.456.279
2015;Croatia;Total;Total;Number;4.225.316
2015;Italy;Total;Total;Number;60.795.612
2015;Cyprus;Total;Total;Number;847.008
2015;Latvia;Total;Total;Number;1.986.096
2015;Lithuania;Total;Total;Number;2.921.262
2015;Luxembourg;Total;Total;Number;562.958
2015;Hungary;Total;Total;Number;9.855.571
2015;Malta;Total;Total;Number;439.691
2015;Netherlands;Total;Total;Number;16.900.726
2015;Austria;Total;Total;Number;8.584.926
2015;Poland;Total;Total;Number;38.005.614
2015;Portugal;Total;Total;Number;10.374.822
2015;Romania;Total;Total;Number;19.870.647
2015;Slovenia;Total;Total;Number;2.062.874
2015;Slovakia;Total;Total;Number;5.421.349
2015;Finland;Total;Total;Number;5.471.753
2015;Sweden;Total;Total;Number;9.747.355
2015;United Kingdom;Total;Total;Number;64.875.165
2015;Iceland;Total;Total;Number;329.1
2015;Liechtenstein;Total;Total;Number;37.366
2015;Norway;Total;Total;Number;5.166.493
2015;Switzerland;Total;Total;Number;8.237.666
2015;Montenegro;Total;Total;Number;622.099
2015;Former Yugoslav Republic of Macedonia. the;Total;Total;Number;2.069.172
2015;Albania;Total;Total;Number;2.892.302
2015;Serbia;Total;Total;Number;7.114.393
2015;Turkey;Total;Total;Number;77.695.904
2015;Andorra;Total;Total;Number;:
2015;Belarus;Total;Total;Number;9.480.868
2015;Bosnia and Herzegovina;Total;Total;Number;:
2015;Kosovo (under United Nations Security Council Resolution 1244/99);Total;Total;Number;:
2015;Moldova;Total;Total;Number;3.555.159
2015;Monaco;Total;Total;Number;:
2015;Russia;Total;Total;Number;:
2015;San Marino;Total;Total;Number;:
2015;Ukraine;Total;Total;Number;42.759.661
2015;Armenia;Total;Total;Number;3.010.598
2015;Azerbaijan;Total;Total;Number;9.593.038
2015;Georgia;Total;Total;Number;3.729.500
