Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP,""Crops and livestock products"",""3"",""Albania"",""5610"",""Import Quantity"",""572"",""Avocados"",""2010"",""2010"",""tonnes"",""12"","""",""Official data"""
"TP,""Crops and livestock products"",""3"",""Albania"",""5610"",""Import Quantity"",""572"",""Avocados"",""2011"",""2011"",""tonnes"",""16"","""",""Official data"""
"TP,""Crops and livestock products"",""3"",""Albania"",""5610"",""Import Quantity"",""572"",""Avocados"",""2012"",""2012"",""tonnes"",""24"","""",""Official data"""
"TP,""Crops and livestock products"",""3"",""Albania"",""5610"",""Import Quantity"",""572"",""Avocados"",""2013"",""2013"",""tonnes"",""33"","""",""Official data"""
"TP,""Crops and livestock products"",""3"",""Albania"",""5622"",""Import Value"",""572"",""Avocados"",""2010"",""2010"",""1000 US$"",""6"","""",""Official data"""
"TP,""Crops and livestock products"",""3"",""Albania"",""5622"",""Import Value"",""572"",""Avocados"",""2011"",""2011"",""1000 US$"",""12"","""",""Official data"""
"TP,""Crops and livestock products"",""3"",""Albania"",""5622"",""Import Value"",""572"",""Avocados"",""2012"",""2012"",""1000 US$"",""15"","""",""Official data"""
"TP,""Crops and livestock products"",""3"",""Albania"",""5622"",""Import Value"",""572"",""Avocados"",""2013"",""2013"",""1000 US$"",""20"","""",""Official data"""
"TP,""Crops and livestock products"",""3"",""Albania"",""5910"",""Export Quantity"",""572"",""Avocados"",""2010"",""2010"",""tonnes"","""",""M"",""Data not available"""
"TP,""Crops and livestock products"",""3"",""Albania"",""5910"",""Export Quantity"",""572"",""Avocados"",""2011"",""2011"",""tonnes"","""",""M"",""Data not available"""
"TP,""Crops and livestock products"",""3"",""Albania"",""5910"",""Export Quantity"",""572"",""Avocados"",""2012"",""2012"",""tonnes"",""8"","""",""Official data"""
"TP,""Crops and livestock products"",""3"",""Albania"",""5910"",""Export Quantity"",""572"",""Avocados"",""2013"",""2013"",""tonnes"",""0"",""*"",""Unofficial figure"""
