CODE,DECLARANT,YEAR,MONTH,PERIOD,IMPORT_QUANTITY_TON,EXPORT_QUANTITY_TON,CONSUMPTION_TON,CONSUMPTION_G,CONSUMPTION_AVO,POPULATION_SIZE,CONSUMPTION_AVO_PP
FRA,001 France,2010,Jan,201001 Jan. 2010,7002.30,418.00,6584.30,6584300000.00,36579444.44,64658856,0.5657
FRA,001 France,2010,Feb,201002 Feb. 2010,7561.60,679.40,6882.20,6882200000.00,38234444.44,64658856,0.5913
FRA,001 France,2010,Mrt,201003 Mar. 2010,8233.80,743.80,7490.00,7490000000.00,41611111.11,64658856,0.6435
FRA,001 France,2010,Apr,201004 Apr. 2010,9551.60,801.60,8750.00,8750000000.00,48611111.11,64658856,0.7518
FRA,001 France,2010,Mei,201005 May. 2010,9217.60,1311.30,7906.30,7906300000.00,43923888.89,64658856,0.6793
FRA,001 France,2010,Jun,201006 Jun. 2010,6559.50,846.20,5713.30,5713300000.00,31740555.56,64658856,0.4909
FRA,001 France,2010,Jul,201007 Jul. 2010,7747.50,655.70,7091.80,7091800000.00,39398888.89,64658856,0.6093
FRA,001 France,2010,Aug,201008 Aug. 2010,8384.90,1329.90,7055.00,7055000000.00,39194444.44,64658856,0.6062
FRA,001 France,2010,Sep,201009 Sep. 2010,7547.90,971.40,6576.50,6576500000.00,36536111.11,64658856,0.5651
FRA,001 France,2010,Okt,201010 Oct. 2010,6443.60,655.20,5788.40,5788400000.00,32157777.78,64658856,0.4973
FRA,001 France,2010,Nov,201011 Nov. 2010,7516.30,537.10,6979.20,6979200000.00,38773333.33,64658856,0.5997
FRA,001 France,2010,Dec,201012 Dec. 2010,8268.70,576.80,7691.90,7691900000.00,42732777.78,64658856,0.6609
FRA,001 France,2011,Jan,201101 Jan. 2011,6823.00,1001.00,5822.00,5822000000.00,32344444.44,64978721,0.4978
FRA,001 France,2011,Feb,201102 Feb. 2011,6829.60,777.70,6051.90,6051900000.00,33621666.67,64978721,0.5174
FRA,001 France,2011,Mrt,201103 Mar. 2011,7107.30,766.50,6340.80,6340800000.00,35226666.67,64978721,0.5421
FRA,001 France,2011,Apr,201104 Apr. 2011,7694.50,1169.30,6525.20,6525200000.00,36251111.11,64978721,0.5579
FRA,001 France,2011,Mei,201105 May. 2011,9151.60,1551.70,7599.90,7599900000.00,42221666.67,64978721,0.6498
FRA,001 France,2011,Jun,201106 Jun. 2011,8269.70,1278.70,6991.00,6991000000.00,38838888.89,64978721,0.5977
FRA,001 France,2011,Jul,201107 Jul. 2011,6362.10,1368.30,4993.80,4993800000.00,27743333.33,64978721,0.4270
FRA,001 France,2011,Aug,201108 Aug. 2011,7070.40,1188.80,5881.60,5881600000.00,32675555.56,64978721,0.5029
FRA,001 France,2011,Sep,201109 Sep. 2011,7228.00,1136.20,6091.80,6091800000.00,33843333.33,64978721,0.5208
FRA,001 France,2011,Okt,201110 Oct. 2011,7042.40,941.40,6101.00,6101000000.00,33894444.44,64978721,0.5216
FRA,001 France,2011,Nov,201111 Nov. 2011,6566.50,500.70,6065.80,6065800000.00,33698888.89,64978721,0.5186
FRA,001 France,2011,Dec,201112 Dec. 2011,8116.40,776.10,7340.30,7340300000.00,40779444.44,64978721,0.6276
FRA,001 France,2012,Jan,201201 Jan. 2012,7374.40,640.30,6734.10,6734100000.00,37411666.67,65276983,0.5731
FRA,001 France,2012,Feb,201202 Feb. 2012,6978.70,3438.10,3540.60,3540600000.00,19670000.00,65276983,0.3013
FRA,001 France,2012,Mrt,201203 Mar. 2012,7812.90,1163.40,6649.50,6649500000.00,36941666.67,65276983,0.5659
FRA,001 France,2012,Apr,201204 Apr. 2012,9037.80,1370.70,7667.10,7667100000.00,42595000.00,65276983,0.6525
FRA,001 France,2012,Mei,201205 May. 2012,8796.50,2019.50,6777.00,6777000000.00,37650000.00,65276983,0.5768
FRA,001 France,2012,Jun,201206 Jun. 2012,6292.90,1274.20,5018.70,5018700000.00,27881666.67,65276983,0.4271
FRA,001 France,2012,Jul,201207 Jul. 2012,8064.00,1463.90,6600.10,6600100000.00,36667222.22,65276983,0.5617
FRA,001 France,2012,Aug,201208 Aug. 2012,8543.30,1559.40,6983.90,6983900000.00,38799444.44,65276983,0.5944
FRA,001 France,2012,Sep,201209 Sep. 2012,8000.00,1981.10,6018.90,6018900000.00,33438333.33,65276983,0.5123
FRA,001 France,2012,Okt,201210 Oct. 2012,8234.00,1428.10,6805.90,6805900000.00,37810555.56,65276983,0.5792
FRA,001 France,2012,Nov,201211 Nov. 2012,6329.40,828.00,5501.40,5501400000.00,30563333.33,65276983,0.4682
FRA,001 France,2012,Dec,201212 Dec. 2012,9035.70,905.60,8130.10,8130100000.00,45167222.22,65276983,0.6919
FRA,001 France,2013,Jan,201301 Jan. 2013,7342.70,1047.10,6295.60,6295600000.00,34975555.56,65600350,0.5332
FRA,001 France,2013,Feb,201302 Feb. 2013,8723.70,1458.70,7265.00,7265000000.00,40361111.11,65600350,0.6153
FRA,001 France,2013,Mrt,201303 Mar. 2013,8484.90,1700.80,6784.10,6784100000.00,37689444.44,65600350,0.5745
FRA,001 France,2013,Apr,201304 Apr. 2013,8726.10,1396.00,7330.10,7330100000.00,40722777.78,65600350,0.6208
FRA,001 France,2013,Mei,201305 May. 2013,9832.90,1427.80,8405.10,8405100000.00,46695000.00,65600350,0.7118
FRA,001 France,2013,Jun,201306 Jun. 2013,7224.40,1310.50,5913.90,5913900000.00,32855000.00,65600350,0.5008
FRA,001 France,2013,Jul,201307 Jul. 2013,7427.60,1011.60,6416.00,6416000000.00,35644444.44,65600350,0.5434
FRA,001 France,2013,Aug,201308 Aug. 2013,8643.20,894.20,7749.00,7749000000.00,43050000.00,65600350,0.6562
FRA,001 France,2013,Sep,201309 Sep. 2013,7542.50,941.30,6601.20,6601200000.00,36673333.33,65600350,0.5590
FRA,001 France,2013,Okt,201310 Oct. 2013,8442.80,1203.90,7238.90,7238900000.00,40216111.11,65600350,0.6130
FRA,001 France,2013,Nov,201311 Nov. 2013,8304.10,993.20,7310.90,7310900000.00,40616111.11,65600350,0.6191
FRA,001 France,2013,Dec,201312 Dec. 2013,9565.50,1266.30,8299.20,8299200000.00,46106666.67,65600350,0.7028
FRA,001 France,2014,Jan,201401 Jan. 2014,8913.50,1738.60,7174.90,7174900000.00,39860555.56,65942267,0.6045
FRA,001 France,2014,Feb,201402 Feb. 2014,10772.00,2333.20,8438.80,8438800000.00,46882222.22,65942267,0.7110
FRA,001 France,2014,Mrt,201403 Mar. 2014,10275.80,2253.20,8022.60,8022600000.00,44570000.00,65942267,0.6759
FRA,001 France,2014,Apr,201404 Apr. 2014,9729.10,1341.10,8388.00,8388000000.00,46600000.00,65942267,0.7067
FRA,001 France,2014,Mei,201405 May. 2014,8907.00,1440.20,7466.80,7466800000.00,41482222.22,65942267,0.6291
FRA,001 France,2014,Jun,201406 Jun. 2014,9693.00,1269.00,8424.00,8424000000.00,46800000.00,65942267,0.7097
FRA,001 France,2014,Jul,201407 Jul. 2014,9588.10,1318.10,8270.00,8270000000.00,45944444.44,65942267,0.6967
FRA,001 France,2014,Aug,201408 Aug. 2014,8869.90,1198.90,7671.00,7671000000.00,42616666.67,65942267,0.6463
FRA,001 France,2014,Sep,201409 Sep. 2014,9970.20,1676.20,8294.00,8294000000.00,46077777.78,65942267,0.6988
FRA,001 France,2014,Okt,201410 Oct. 2014,9799.00,957.50,8841.50,8841500000.00,49119444.44,65942267,0.7449
FRA,001 France,2014,Nov,201411 Nov. 2014,10096.10,1010.70,9085.40,9085400000.00,50474444.44,65942267,0.7654
FRA,001 France,2014,Dec,201412 Dec. 2014,13108.90,2123.50,10985.40,10985400000.00,61030000.00,65942267,0.9255
FRA,001 France,2015,Jan,201501 Jan. 2015,9239.60,1954.00,7285.60,7285600000.00,40475555.56,66456279,0.6091
FRA,001 France,2015,Feb,201502 Feb. 2015,8518.70,2251.00,6267.70,6267700000.00,34820555.56,66456279,0.5240
FRA,001 France,2015,Mrt,201503 Mar. 2015,10622.80,2323.50,8299.30,8299300000.00,46107222.22,66456279,0.6938
FRA,001 France,2015,Apr,201504 Apr. 2015,9505.80,1864.10,7641.70,7641700000.00,42453888.89,66456279,0.6388
FRA,001 France,2015,Mei,201505 May. 2015,9729.30,1191.00,8538.30,8538300000.00,47435000.00,66456279,0.7138
