CODE,DECLARANT,FLOW,YEAR,MONTH,PERIOD,QUANTITY_TON
FRA,001 France,IMPORT,2010,Jan,201001 Jan. 2010,7002.3
FRA,001 France,IMPORT,2010,Feb,201002 Feb. 2010,7561.6
FRA,001 France,IMPORT,2010,Mrt,201003 Mar. 2010,8233.8
FRA,001 France,IMPORT,2010,Apr,201004 Apr. 2010,9551.6
FRA,001 France,IMPORT,2010,Mei,201005 May. 2010,9217.6
FRA,001 France,IMPORT,2010,Jun,201006 Jun. 2010,6559.5
FRA,001 France,IMPORT,2010,Jul,201007 Jul. 2010,7747.5
FRA,001 France,IMPORT,2010,Aug,201008 Aug. 2010,8384.9
FRA,001 France,IMPORT,2010,Sep,201009 Sep. 2010,7547.9
FRA,001 France,IMPORT,2010,Okt,201010 Oct. 2010,6443.6
FRA,001 France,IMPORT,2010,Nov,201011 Nov. 2010,7516.3
FRA,001 France,IMPORT,2010,Dec,201012 Dec. 2010,8268.7
FRA,001 France,IMPORT,2011,Jan,201101 Jan. 2011,6823
FRA,001 France,IMPORT,2011,Feb,201102 Feb. 2011,6829.6
FRA,001 France,IMPORT,2011,Mrt,201103 Mar. 2011,7107.3
FRA,001 France,IMPORT,2011,Apr,201104 Apr. 2011,7694.5
FRA,001 France,IMPORT,2011,Mei,201105 May. 2011,9151.6
FRA,001 France,IMPORT,2011,Jun,201106 Jun. 2011,8269.7
FRA,001 France,IMPORT,2011,Jul,201107 Jul. 2011,6362.1
FRA,001 France,IMPORT,2011,Aug,201108 Aug. 2011,7070.4
FRA,001 France,IMPORT,2011,Sep,201109 Sep. 2011,7228
FRA,001 France,IMPORT,2011,Okt,201110 Oct. 2011,7042.4
FRA,001 France,IMPORT,2011,Nov,201111 Nov. 2011,6566.5
FRA,001 France,IMPORT,2011,Dec,201112 Dec. 2011,8116.4
FRA,001 France,IMPORT,2012,Jan,201201 Jan. 2012,7374.4
FRA,001 France,IMPORT,2012,Feb,201202 Feb. 2012,6978.7
FRA,001 France,IMPORT,2012,Mrt,201203 Mar. 2012,7812.9
FRA,001 France,IMPORT,2012,Apr,201204 Apr. 2012,9037.8
FRA,001 France,IMPORT,2012,Mei,201205 May. 2012,8796.5
FRA,001 France,IMPORT,2012,Jun,201206 Jun. 2012,6292.9
FRA,001 France,IMPORT,2012,Jul,201207 Jul. 2012,8064
FRA,001 France,IMPORT,2012,Aug,201208 Aug. 2012,8543.3
FRA,001 France,IMPORT,2012,Sep,201209 Sep. 2012,8000
FRA,001 France,IMPORT,2012,Okt,201210 Oct. 2012,8234
FRA,001 France,IMPORT,2012,Nov,201211 Nov. 2012,6329.4
FRA,001 France,IMPORT,2012,Dec,201212 Dec. 2012,9035.7
FRA,001 France,IMPORT,2013,Jan,201301 Jan. 2013,7342.7
FRA,001 France,IMPORT,2013,Feb,201302 Feb. 2013,8723.7
FRA,001 France,IMPORT,2013,Mrt,201303 Mar. 2013,8484.9
FRA,001 France,IMPORT,2013,Apr,201304 Apr. 2013,8726.1
FRA,001 France,IMPORT,2013,Mei,201305 May. 2013,9832.9
FRA,001 France,IMPORT,2013,Jun,201306 Jun. 2013,7224.4
FRA,001 France,IMPORT,2013,Jul,201307 Jul. 2013,7427.6
FRA,001 France,IMPORT,2013,Aug,201308 Aug. 2013,8643.2
FRA,001 France,IMPORT,2013,Sep,201309 Sep. 2013,7542.5
FRA,001 France,IMPORT,2013,Okt,201310 Oct. 2013,8442.8
FRA,001 France,IMPORT,2013,Nov,201311 Nov. 2013,8304.1
FRA,001 France,IMPORT,2013,Dec,201312 Dec. 2013,9565.5
FRA,001 France,IMPORT,2014,Jan,201401 Jan. 2014,8913.5
FRA,001 France,IMPORT,2014,Feb,201402 Feb. 2014,10772
FRA,001 France,IMPORT,2014,Mrt,201403 Mar. 2014,10275.8
FRA,001 France,IMPORT,2014,Apr,201404 Apr. 2014,9729.1
FRA,001 France,IMPORT,2014,Mei,201405 May. 2014,8907
FRA,001 France,IMPORT,2014,Jun,201406 Jun. 2014,9693
FRA,001 France,IMPORT,2014,Jul,201407 Jul. 2014,9588.1
FRA,001 France,IMPORT,2014,Aug,201408 Aug. 2014,8869.9
FRA,001 France,IMPORT,2014,Sep,201409 Sep. 2014,9970.2
FRA,001 France,IMPORT,2014,Okt,201410 Oct. 2014,9799
FRA,001 France,IMPORT,2014,Nov,201411 Nov. 2014,10096.1
FRA,001 France,IMPORT,2014,Dec,201412 Dec. 2014,13108.9
FRA,001 France,IMPORT,2015,Jan,201501 Jan. 2015,9239.6
FRA,001 France,IMPORT,2015,Feb,201502 Feb. 2015,8518.7
FRA,001 France,IMPORT,2015,Mrt,201503 Mar. 2015,10622.8
FRA,001 France,IMPORT,2015,Apr,201504 Apr. 2015,9505.8
FRA,001 France,IMPORT,2015,Mei,201505 May. 2015,9729.3
FRA,001 France,IMPORT,2015,Jun,201506 Jun. 2015,10342
FRA,001 France,IMPORT,2015,Jul,201507 Jul. 2015,8972.8
FRA,001 France,IMPORT,2015,Aug,201508 Aug. 2015,9866.3
FRA,001 France,IMPORT,2015,Sep,201509 Sep. 2015,9580.4
FRA,001 France,IMPORT,2015,Okt,201510 Oct. 2015,8975.1
FRA,001 France,IMPORT,2015,Nov,201511 Nov. 2015,9741.7
FRA,001 France,IMPORT,2015,Dec,201512 Dec. 2015,11302.9
FRA,001 France,EXPORT,2010,Jan,201001 Jan. 2010,418
FRA,001 France,EXPORT,2010,Feb,201002 Feb. 2010,679.4
FRA,001 France,EXPORT,2010,Mrt,201003 Mar. 2010,743.8
FRA,001 France,EXPORT,2010,Apr,201004 Apr. 2010,801.6
FRA,001 France,EXPORT,2010,Mei,201005 May. 2010,1311.3
FRA,001 France,EXPORT,2010,Jun,201006 Jun. 2010,846.2
FRA,001 France,EXPORT,2010,Jul,201007 Jul. 2010,655.7
FRA,001 France,EXPORT,2010,Aug,201008 Aug. 2010,1329.9
FRA,001 France,EXPORT,2010,Sep,201009 Sep. 2010,971.4
FRA,001 France,EXPORT,2010,Okt,201010 Oct. 2010,655.2
FRA,001 France,EXPORT,2010,Nov,201011 Nov. 2010,537.1
FRA,001 France,EXPORT,2010,Dec,201012 Dec. 2010,576.8
FRA,001 France,EXPORT,2011,Jan,201101 Jan. 2011,1001
FRA,001 France,EXPORT,2011,Feb,201102 Feb. 2011,777.7
FRA,001 France,EXPORT,2011,Mrt,201103 Mar. 2011,766.5
FRA,001 France,EXPORT,2011,Apr,201104 Apr. 2011,1169.3
FRA,001 France,EXPORT,2011,Mei,201105 May. 2011,1551.7
FRA,001 France,EXPORT,2011,Jun,201106 Jun. 2011,1278.7
FRA,001 France,EXPORT,2011,Jul,201107 Jul. 2011,1368.3
FRA,001 France,EXPORT,2011,Aug,201108 Aug. 2011,1188.8
FRA,001 France,EXPORT,2011,Sep,201109 Sep. 2011,1136.2
FRA,001 France,EXPORT,2011,Okt,201110 Oct. 2011,941.4
FRA,001 France,EXPORT,2011,Nov,201111 Nov. 2011,500.7
FRA,001 France,EXPORT,2011,Dec,201112 Dec. 2011,776.1
FRA,001 France,EXPORT,2012,Jan,201201 Jan. 2012,640.3
FRA,001 France,EXPORT,2012,Feb,201202 Feb. 2012,3438.1
FRA,001 France,EXPORT,2012,Mrt,201203 Mar. 2012,1163.4
FRA,001 France,EXPORT,2012,Apr,201204 Apr. 2012,1370.7
FRA,001 France,EXPORT,2012,Mei,201205 May. 2012,2019.5
FRA,001 France,EXPORT,2012,Jun,201206 Jun. 2012,1274.2
FRA,001 France,EXPORT,2012,Jul,201207 Jul. 2012,1463.9
FRA,001 France,EXPORT,2012,Aug,201208 Aug. 2012,1559.4
FRA,001 France,EXPORT,2012,Sep,201209 Sep. 2012,1981.1
FRA,001 France,EXPORT,2012,Okt,201210 Oct. 2012,1428.1
FRA,001 France,EXPORT,2012,Nov,201211 Nov. 2012,828
FRA,001 France,EXPORT,2012,Dec,201212 Dec. 2012,905.6
FRA,001 France,EXPORT,2013,Jan,201301 Jan. 2013,1047.1
FRA,001 France,EXPORT,2013,Feb,201302 Feb. 2013,1458.7
FRA,001 France,EXPORT,2013,Mrt,201303 Mar. 2013,1700.8
FRA,001 France,EXPORT,2013,Apr,201304 Apr. 2013,1396
FRA,001 France,EXPORT,2013,Mei,201305 May. 2013,1427.8
FRA,001 France,EXPORT,2013,Jun,201306 Jun. 2013,1310.5
FRA,001 France,EXPORT,2013,Jul,201307 Jul. 2013,1011.6
FRA,001 France,EXPORT,2013,Aug,201308 Aug. 2013,894.2
FRA,001 France,EXPORT,2013,Sep,201309 Sep. 2013,941.3
FRA,001 France,EXPORT,2013,Okt,201310 Oct. 2013,1203.9
FRA,001 France,EXPORT,2013,Nov,201311 Nov. 2013,993.2
FRA,001 France,EXPORT,2013,Dec,201312 Dec. 2013,1266.3
FRA,001 France,EXPORT,2014,Jan,201401 Jan. 2014,1738.6
FRA,001 France,EXPORT,2014,Feb,201402 Feb. 2014,2333.2
FRA,001 France,EXPORT,2014,Mrt,201403 Mar. 2014,2253.2
FRA,001 France,EXPORT,2014,Apr,201404 Apr. 2014,1341.1
FRA,001 France,EXPORT,2014,Mei,201405 May. 2014,1440.2
FRA,001 France,EXPORT,2014,Jun,201406 Jun. 2014,1269
FRA,001 France,EXPORT,2014,Jul,201407 Jul. 2014,1318.1
FRA,001 France,EXPORT,2014,Aug,201408 Aug. 2014,1198.9
FRA,001 France,EXPORT,2014,Sep,201409 Sep. 2014,1676.2
FRA,001 France,EXPORT,2014,Okt,201410 Oct. 2014,957.5
FRA,001 France,EXPORT,2014,Nov,201411 Nov. 2014,1010.7
FRA,001 France,EXPORT,2014,Dec,201412 Dec. 2014,2123.5
FRA,001 France,EXPORT,2015,Jan,201501 Jan. 2015,1954
FRA,001 France,EXPORT,2015,Feb,201502 Feb. 2015,2251
FRA,001 France,EXPORT,2015,Mrt,201503 Mar. 2015,2323.5
FRA,001 France,EXPORT,2015,Apr,201504 Apr. 2015,1864.1
